Key,en,de,fr,it,hu,zh,ar
pin_protection_status_description_retries_without_cooldown_ios,"Invalid PIN. You have %d tries left.","Ungültige PIN. Sie haben noch %d Versuche übrig.","PIN non valide. Il vous reste %d essais.","PIN non valido. Sono rimasti %d tentativi.","Érvénytelen PIN-kód. %d próbálkozása maradt.","无效识别码。您还可以尝试%d次","رقم سري غير صحيح. لديك %d محاولات متبقية."
pin_protection_status_description_previous_error_retries_with_cooldown_ios,"An invalid PIN was previously provided. You have %1$d tries left.\nYou can retry in %2$.0f seconds.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch %1$d Versuche übrig.\nBitte versuchen Sie es in %2$.0f Sekunden erneut.","Un code PIN invalide a été fourni précédemment. Il vous reste %1$d essais.\nVeuillez réessayer dans %2$.0f secondes.","In precedenza è stato fornito un PIN non valido. Avete %1$d tentativi rimasti.\nProvare di nuovo in %2$.0f secondi.","Korábban érvénytelen PIN-kódot adott meg. %1$d próbálkozása maradt.\n%2$.0f másodperc múlva próbálkozhat újra.","之前提供的PIN无效。你还有%1$d次尝试机会。\n请在%2$.0f秒后重试。","تم تقديم رقم سري غير صحيح مسبقًا. لديك %1$d محاولات متبقية.\nيمكنك المحاولة مرة أخرى في غضون %2$.0f ثانية."
pin_protection_status_description_retries_with_cooldown_ios,"Invalid PIN. You have %1$d tries left.\nYou can retry in %2$.0f seconds.","Ungültige PIN. Sie haben %1$d Versuche übrig.\nBitte versuchen Sie es in %2$.0f Sekunden erneut.","PIN non valide. Il vous reste %1$d essais.\nVeuillez réessayer dans %2$.0f secondes.","PIN non valido. Avete %1$d tentativi rimasti.\nProvare di nuovo in %2$.0f secondi.","Érvénytelen PIN-kód. %1$d próbálkozása maradt.\n%2$.0f másodperc múlva próbálkozhat újra.","无效识别码。您还可以尝试%1$d次\n请在%2$.0f秒之后再试","رقم سري غير صحيح. لديك %1$d محاولات متبقية.\nيمكنك المحاولة مرة أخرى في غضون %2$.0f ثانية."
pin_protection_status_description_previous_error_last_retry_with_cooldown_ios,"An invalid PIN was previously provided. This is your last try.\nYou can retry in %.0f seconds.\nAfter that your PIN will be blocked.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch 1 Versuch übrig.\nBitte versuchen Sie es in %.0f Sekunden erneut.\nDanach wird Ihre PIN gesperrt.","Un code PIN invalide a été fourni précédemment. Il vous reste 1 essai.\nVeuillez réessayer dans %.0f seconds.\nAprès cela, votre code PIN sera bloqué.","In precedenza è stato fornito un PIN non valido. Le rimane 1 tentativo.\nProvare nuovamente in %.0f secondi.\nDopo di che il suo PIN sarà bloccato.","Korábban érvénytelen PIN-kódot adott meg. Ez az utolsó próbálkozása.\n%.0f másodperc múlva újra próbálkozhat.\nEzt követően a rendszer blokkolja a PIN-kódot.","之前提供的PIN无效。你只剩下1次尝试机会。\n请在%.0f秒后重试。\n然后你的PIN将被锁定。","تم تقديم رقم سري غير صحيح مسبقًا. هذه هي آخر محاولة لك.\nيمكنك المحاولة مرة أخرى في غضون %.0f ثانية.\nبعد ذلك سيتم حظر رقمك السري."
pin_protection_status_description_last_retry_with_cooldown_ios,"Invalid PIN. You have 1 try left.\nYou can retry in %.0f seconds.\nAfter that your PIN will be blocked.","Ungültige PIN. Sie haben noch 1 Versuch übrig.\nBitte versuchen Sie es in %.0f Sekunden erneut.\nDanach wird Ihre PIN gesperrt.","PIN non valide. Il vous reste 1 essai.\nVeuillez réessayer dans %.0f seconds.\nAprès cela, votre code PIN sera bloqué.","PIN non valido. Le rimane 1 tentativo.\nProvare nuovamente in %.0f secondi.\nDopo di che il suo PIN sarà bloccato.","Érvénytelen PIN-kód. 1 próbálkozása maradt.\n%.0f másodperc múlva próbálkozhat újra.\nEzt követően a rendszer blokkolja a PIN-kódot.","无效识别码。您还可以尝试1次\n请在%.0f秒之后再试\n此后您的识别码将被锁定","رقم سري غير صحيح. لديك 1 محاولة متبقية.\nيمكنك المحاولة مرة أخرى في غضون %.0f ثانية.\nبعد ذلك سيتم حظر رقمك السري."
success_screen_action_with_countdown_title,"Continue (%d)","Weiter (%d)","Démarrer (%d)","Avanti (%d)","Folytatás (%1$d)","继续 (%d)","استمرار (%d)"
success_screen_deregistration_authenticator_message,"Your authentication method has been removed","Ihre Authentifizierungsmethode wurde entfernt.","Votre méthode d'authentification a été supprimée.","Il tuo metodo di autenticazione è stato rimosso.","Ez az azonosítási módszer eltávolításra került","你的认证方式已被移除。","تمت إزالة طريقة التوثيق الخاصة بك"
error_screen_registration_cancelled_title,"Registration Cancelled","Registrierung abgebrochen","Enregistrement annulé","Registrazione annullata","Regisztráció megszakítva","注册已取消","تم إلغاء التسجيل"
error_screen_authentication_cancelled_title,"Authentication Cancelled","Authentifizierung abgebrochen","Authentification annulée","Autenticazione annullata","Azonosítás megszakítva","认证已取消","تم إلغاء التوثيق"
error_registration_face_not_enrolled,"Before using the face authentication method, you must enroll your face in the System Settings.","Ihr Gesicht muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Gesichtserkennung authentisieren können.","Avant d'utiliser la réconnaissance faciale, vous devez définir votre visage dans les préférences du système.","Prima di utilizzare il riconoscimento facciale, è necessario impostare la propria faccia nelle impostazioni di sistema.","Az arcfelismeréses azonosítás használatához regisztrálnia kell az arcképét a redszerbeállításokban.","在使用面部认证方式前，你必须在系统设置中注册你的面部。","قبل استخدام طريقة التوثيق بالوجه، يجب عليك تسجيل وجهك في إعدادات النظام."
error_registration_iris_not_enrolled,"Before using the iris authentication method, you must enroll your iris in the System Settings.","Ihr Iris muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Iriserkennung authentisieren können.","Avant d'utiliser le scanner d'iris, vous devez définir votre iris dans les préférences du système.","Prima di utilizzare il lettore d'iris, è necessario impostare il proprio iris nelle impostazioni di sistema.","A szemfelismeréses azonosítás használatához regisztrálnia kell a szemei képét a redszerbeállításokban.","在使用虹膜认证方式前，你必须在系统设置中注册你的虹膜。","قبل استخدام طريقة التوثيق بالقزحية، يجب عليك تسجيل قزحية عينك في إعدادات النظام."
error_registration_biometric_not_enrolled,"Before using the %1$s authentication method, you must enroll your %1$s in the System Settings.","Ihr %1$s muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit %1$s authentisieren können.","Avant d'utiliser la méthode d'authentification %1$s, vous devez définir votre %1$s dans les préférences du système.","Prima di utilizzare il %1$s, è necessario impostare la propria %1$s nelle impostazioni di sistema.","A(z) %1$s azonosítás használatához először regisztrálnia kell a(z) %1$s módszert a redszerbeállításokban.","在使用%1$s认证方式前，你必须在系统设置中注册你的%1$s。","قبل استخدام طريقة التوثيق بـ %1$s ، يجب عليك تسجيل %1$s في إعدادات النظام."
error_authentication_face_not_enrolled,"Before using the face authentication method, you must enroll your face in the System Settings.","Ihr Gesicht muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Gesichtserkennung authentisieren können.","Avant d'utiliser la réconnaissance faciale, vous devez définir votre visage dans les préférences du système.","Prima di utilizzare il riconoscimento facciale, è necessario impostare la propria faccia nelle impostazioni di sistema.","Az arcfelismeréses azonosítás használatához regisztrálnia kell az arcképét a redszerbeállításokban.","在使用面部认证方式前，你必须在系统设置中注册你的面部。","قبل استخدام طريقة التوثيق بالوجه، يجب عليك تسجيل وجهك في إعدادات النظام."
error_authentication_iris_not_enrolled,"Before using the iris authentication method, you must enroll your iris in the System Settings.","Ihr Iris muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Iriserkennung authentisieren können.","Avant d'utiliser le scanner d'iris, vous devez définir votre iris dans les préférences du système.","Prima di utilizzare il lettore d'iris, è necessario impostare il proprio iris nelle impostazioni di sistema.","Az szemfelismerés használatához előbb regisztrálnia kell a szemei képét a redszerbeállításokban.","在使用虹膜认证方式前，你必须在系统设置中注册你的虹膜。","قبل استخدام طريقة التوثيق بالقزحية، يجب عليك تسجيل قزحية عينك في إعدادات النظام."
error_authentication_biometric_not_enrolled,"Before using the %1$s authentication method, you must enroll your %1$s in the System Settings.","Ihr %1$s muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit %1$s authentisieren können.","Avant d'utiliser la méthode d'authentification %1$s, vous devez définir votre %1$s dans les préférences du système.","Prima di utilizzare il %1$s, è necessario impostare la propria %1$s nelle impostazioni di sistema.","A(z) %1$s azonosítási módszer használatához először engedélyeznie kell azt a redszerbeállításokban.","在使用%1$s认证方式前，你必须在系统设置中注册你的%1$s。","قبل استخدام طريقة التوثيق بـ %1$s ، يجب عليك تسجيل %1$s في إعدادات النظام."
account_pin_authentication_method,"PIN","PIN","PIN","PIN","PIN-kód","识别码","رقم سري"
account_fingerprint_authentication_method,"Fingerprint","Fingerabdruck","Empreintes digitales","Impronte digitali","Ujjlenyomat","指纹","بصمة الإصبع"
account_face_authentication_method,"Face","Gesicht","Visage","Faccia","Arcfelismerés","面部","الوجه"
account_iris_authentication_method,"Iris","Iris","Iris","Iris","Szemfelismerés","虹膜","القزحية"
account_undefined_biometric_authentication_method,"Biometric (Face/Fingerprint/Iris)","Biometrisch (Gesicht/Fingerabdruck/Iris)","Biométrie (visage/empreintes digitales/iris)","Biometrico (faccia/impronte digitali/iris)","Biometrikus (arc- / ujjlenyomat / szemfelismerés)","生物特征（面部/指纹/虹膜）","البيومتري (الوجه/بصمة الإصبع/القزحية)"
account_screen_deregister_alert_title_android,"Account Removal","Konto Entfernen?","Supprimer le Compte?","Rimuovi Account?","Fiók eltávolítása","移除账户？","إزالة الحساب"
account_screen_deregister_alert_message_android,"Do you want to remove the account named %s?","Möchten Sie das Konto mit dem Namen %s entfernen?","Voulez-vous supprimer le compte nommé %s?","Vuoi rimuovere l'account chiamato %s?","Eltávolítja a(z) %1$s nevű fiókot?","你想移除名为%s的账户吗？","هل تريد إزالة الحساب المسمى %s?"
account_screen_deregister_alert_deregister_authenticator,"Remove authentication method %s","Authentifizierungsmethode %s entfernen","Supprimer la méthode d'authentification %s","Rimuovere il metodo di autenticazione %s","%1$s azonosítási módszer eltávolítása","移除%s认证方式","إزالة طريقة التوثيق %s"
iris_authenticator_not_enrolled,"Before using the iris authentication method, you must enroll your iris in the System Settings.","Ihr Iris muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Iriserkennung authentisieren können.","Avant d'utiliser le scanner d'iris, vous devez définir votre iris dans les préférences du système.","Prima di utilizzare il lettore d'iris, è necessario impostare il proprio iris nelle impostazioni di sistema.","Az szemfelismerés használatához előbb regisztrálnia kell a szemei képét a redszerbeállításokban.","在使用虹膜认证方式前，你必须在系统设置中注册你的虹膜。","قبل استخدام طريقة التوثيق بالقزحية، يجب عليك تسجيل قزحية عينك في إعدادات النظام."
biometric_authenticator_not_enrolled,"Before using the %1$s authentication method, you must enroll your %1$s in the System Settings.","Ihr %1$s muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit %1$s authentisieren können.","Avant d'utiliser la méthode d'authentification %1$s, vous devez définir votre %1$s dans les préférences du système.","Prima di utilizzare il %1$s, è necessario impostare la propria %1$s nelle impostazioni di sistema.","A(z) %1$s azonosítási módszer használatához először engedélyeznie kell azt a redszerbeállításokban.","在使用%1$s认证方式前，你必须在系统设置中注册你的%1$s。","قبل استخدام طريقة التوثيق بـ %1$s ، يجب عليك تسجيل %1$s في إعدادات النظام."
fingerprint_verification_screen_text,"Scan your fingerprint to authenticate","Verwenden Sie den Fingerabdrucksensor zur Authentifizierung.","Utilisez le capteur d'empreintes digitales pour vous authentifier.","Utilizzare il sensore di impronte digitali per l'autenticazione.","Azonosításhoz olvassa be az ujjlenyomatát.","使用指纹传感器验证","مسح بصمة إصبعك للتوثيق"
fingerprint_verification_screen_error,"Your finger could not be scanned, try again","Fehler. Bitte versuchen Sie es erneut.","Erreur. Veuillez réessayer.","Errore. Per favore prova di nuovo.","Az ujjlenyomat beolvasás nem sikerült. Próbálja meg újra.","错误。请重新尝试","لم يتمكن من مسح إصبعك، حاول مرة أخرى"
fingerprint_verification_screen_title,"Verification","Verifizierung","Vérification","Verifica","Azonosítás","验证","التحقق"
biometric_verification_registration_title,"Verification","Verifizierung","Vérification","Verifica","Azonosítás","验证","التحقق"
biometric_verification_registration_description,"Please authenticate to complete Registration.","Bitte authentifizieren Sie sich, um die Registrierung abzuschließen.","Veuillez vous authentifier pour terminer l'enregistrement.","Si prega di autenticarsi per completare la registrazione.","Azonosítsa magát a regisztráció befejezéséhez.","请进行认证以完成注册。","يرجى التوثيق لإكمال التسجيل."
biometric_verification_authentication_title,"Verification","Verifizierung","Vérification","Verifica","Azonosítás","验证","التحقق"
biometric_verification_authentication_description,"Please authenticate to complete the operation.","Bitte authentifizieren Sie sich, um die Operation abzuschließen.","Veuillez vous authentifier pour terminer l'opération.","Si prega di autenticarsi per completare l'operazione.","Azonosítsa magát a folyamat befejezéséhez.","请进行认证以完成操作。","يرجى التوثيق لإكمال العملية."
biometric_verification_authentication_with_account_description,"Please authenticate as %s to complete the operation.","Bitte authentifizieren Sie sich als %s, um die Operation abzuschließen.","Veuillez vous authentifier en tant que %s pour terminer l'opération.","Si prega di autenticarsi come %s per completare l'operazione.","A művelet végrehajtásához azonosítsa magát, mint %1$s.","作为%s进行认证以完成操作。","يرجى التوثيق باسم %s لإكمال العملية."
biometric_verification_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
biometric_verification_fallback,"Enter Password","Passwort eingeben","Entrer le mot de passe","Inserire la password","Jelszó megadása","输入密码","أدخل كلمة المرور"
biometric_verification_screen_title,"Verification","Verifizierung","Vérification","Verifica","Azonosítás","验证","التحققي"
permission_screen_camera_rationale_title,"Camera Access","Kamerazugriff","Accès aux caméras","Accesso alle telecamere","Kamera használat","访问相机","الوصول إلى الكاميرا"
permission_screen_camera_rationale_text,"Allow the <app_name> to access your camera in order to scan the QR code.","Bitte gewähren Sie der <app_name> Zugriff auf Ihre Kamera, um den QR-Code zu scannen.","Veuillez donner à l'<app_name> l'accès à votre appareil photo afin de scanner le code QR.","Per scannerizzare il codice QR., si prega di concedere a <app_name> l'accesso alla vostra fotocamera.","Engedélyezze az alkalmazásnak a kamera használatát a QR-kód beolvasásához.","请允许<app_name>访问相机来完成操作","اسمح لـ <app_name> بالوصول إلى كاميرا الجهاز الخاصة بك ليتمكن من مسح الرمز الشريطي"
permission_screen_camera_rationale_provide_permissions,"Provide Permissions","Berechtigungen erteilen","Fournir des permissions","Fornire i permessi","Engedélyezés","提供权限","تقديم الأذونات"
select_pin_authenticator_title,"PIN Authenticator","PIN-Authentifizierer","Authentificateur de code PIN","Autentificatore PIN","PIN-kódos azonosítás","识别码验证人","مصادق PIN"
select_fingerprint_authenticator_title,"Fingerprint Authenticator","Fingerabdruck-Authentifizierer","Authentificateur d'empreintes digitales","Autentificatore di impronte digitali","Ujjlenyomattal azonosítás","指纹验证人","المصادق بالبصمة"
select_face_authenticator_title,"Face Authentication Method","Gesicht-Authentisierungsmethode","Réconnaissance Faciale","Riconoscimento Facciale","Arcfelismeréses azonosítás","面部认证方式","طريقة المصادقة بالوجه"
select_iris_authenticator_title,"Iris Authentication Method","Iris-Authentisierungsmethode","Scanner d'Iris","Lettore d'Iris","Szemfelismeréses azonosítás","虹膜认证方式","طريقة المصادقة بالقزحية"
select_iris_authenticator_description,"We recommend Iris authentication as login method. Please make sure you have at least one iris registered in your settings.","Wir empfehlen die Authentifizierung per Iris als Login-Methode. Bitte stellen Sie sicher, dass Sie mindestens ein Iris in Ihren Einstellungen registriert haben.","Nous recommandons l'authentification par scanner d'iris comme méthode de connexion. Veuillez vous assurer que vous avez au moins un iris enregistrée dans vos paramètres.","Si consiglia l'autenticazione tramite lettore d'iris come metodo di login. Assicuratevi di avere almeno un iris registrato nelle vostre impostazioni.","Javasoljuk a szemfelismeréses azonosítási módot. Ellenőrizze, hogy a szemei képe regisztrálva legyen a redszerbeállításokban.","我们推荐使用虹膜认证作为登录方式。请确保你在设置中已经注册了至少一只虹膜。","نوصي بطريقة المصادقة بالقزحية كطريقة لتسجيل الدخول. يرجى التأكد من تسجيل قزحية واحدة على الأقل في إعدادات النظام الخاصة بك"
select_biometric_authenticator_title,"%s Authentication Method","%s-Authentifizierungsmethode","Méthode d'Authentification %s","Metodo di Autenticazione %s","%1$s azonosítási módszer","%s认证方式","طريقة المصادقة %s"
select_biometric_authenticator_description,"We recommend %1$s authentication as login method. Please make sure you have at least one %1$s registered in your settings.","Wir empfehlen %1$s als Login-Methode. Bitte stellen Sie sicher, dass Sie mindestens einen %1$s in Ihren Einstellungen registriert haben.","Nous recommandons l'authentification %1$s comme méthode de connexion. Veuillez vous assurer que vous avez au moins une %1$s enregistrée dans vos paramètres.","Si consiglia l'autenticazione tramite %1$s come metodo di login. Assicuratevi di avere almeno un %1$s registrata nelle vostre impostazioni.","Javasoljuk, hogy bejelentkezési módszerként használjon %1$s azonosítást. Ellenőrizze, hogy legalább egy %1$s regisztrálva legyen a redszerbeállításokban.","我们推荐使用%1$s认证作为登录方式。请确保你在设置中已经注册了至少一只%1$s。","نوصي بطريقة المصادقة %1$s كطريقة لتسجيل الدخول. يرجى التأكد من تسجيل واحدة %1$s على الأقل في إعدادات النظام الخاصة بك"
pin_protection_status_description_previous_error_retries_without_cooldown_android,"An invalid PIN was previously provided. You have %d tries left.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch %d Versuche übrig.","Un code PIN invalide a été fourni précédemment. Il vous reste %d essais.","In precedenza è stato fornito un PIN non valido. Avete %d tentativi rimasti.","Érvénytelen PIN-kódot adott meg. %1$d próbálkozása maradt.","之前提供的PIN无效。你还有%d次尝试机会。","تم تقديم رقم سري غير صالح سابقا. لديك %d محاولات متبقية"
pin_protection_status_description_retries_without_cooldown_android,"Invalid PIN. You have %d tries left.","Ungültige PIN. Sie haben noch %d Versuche übrig.","PIN non valide. Il vous reste %d essais.","PIN non valido. Sono rimasti %d tentativi.","Érvénytelen PIN-kód. %1$d próbálkozása maradt.","无效识别码。您还可以尝试%d次","رقم سري غير صالح. لديك %d محاولات متبقية"
pin_protection_status_description_previous_error_retries_with_cooldown_android,"An invalid PIN was previously provided. You have %1$d tries left.\nYou can retry in %2$d seconds.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch %1$d Versuche übrig.\nBitte versuchen Sie es in %2$d Sekunden erneut.","Un code PIN invalide a été fourni précédemment. Il vous reste %1$d essais.\nVeuillez réessayer dans %2$d secondes.","In precedenza è stato fornito un PIN non valido. Avete %1$d tentativi rimasti.\nProvare di nuovo in %2$d secondi.","Érvénytelen PIN-kódot adott meg. %1$d próbálkozása maradt.\n%2$d másodperc múlva próbálkozhat újra.","之前提供的PIN无效。你还有%1$d次尝试机会。\n请在%2$d秒后重试。","تم تقديم رقم سري غير صالح سابقا. لديك %1$d محاولات متبقية. يمكنك إعادة المحاولة في غضون %2$d ثانية"
pin_protection_status_description_retries_with_cooldown_android,"Invalid PIN. You have %1$d tries left.\nYou can retry in %2$d seconds.","Ungültige PIN. Sie haben %1$d Versuche übrig.\nBitte versuchen Sie es in %2$d Sekunden erneut.","PIN non valide. Il vous reste %1$d essais.\nVeuillez réessayer dans %2$d secondes.","PIN non valido. Avete %1$d tentativi rimasti.\nProvare di nuovo in %2$d secondi.","Érvénytelen PIN-kód. %1$d próbálkozása maradt.\n%2$d másodperc múlva próbálkozhat újra.","无效识别码。您还可以尝试%1$d次\n请在%2$d秒之后再试","رقم سري غير صالح. لديك %1$d محاولات متبقية. يمكنك إعادة المحاولة في غضون %2$d ثانية"
pin_protection_status_description_previous_error_last_retry_with_cooldown_android,"An invalid PIN was previously provided. This is your last try.\nYou can retry in %d seconds.\nAfter that your PIN will be blocked.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch 1 Versuch übrig.\nBitte versuchen Sie es in %d Sekunden erneut.\nDanach wird Ihre PIN gesperrt.","Un code PIN invalide a été fourni précédemment. Il vous reste 1 essai.\nVeuillez réessayer dans %d seconds.\nAprès cela, votre code PIN sera bloqué.","In precedenza è stato fornito un PIN non valido. Le rimane 1 tentativo.\nProvare nuovamente in %d secondi.\nDopo di che il suo PIN sarà bloccato.","Érvénytelen PIN-kódot adott meg. Ez az az utolsó próbálkozása.\n%1$d másodperc múlva próbálkozhat újra.\nEzt követően a rendszer blokkolja a PIN-kódját.","之前提供的PIN无效。你只剩下1次尝试机会。\n请在%d秒后重试。\n然后你的PIN将被锁定。","تم تقديم رقم سري غير صالح سابقا. هذه هي آخر محاولة لك. يمكنك إعادة المحاولة في غضون %d ثوان. بعد ذلك سيتم حظر الرقم السري الخاص بك"
pin_protection_status_description_last_retry_with_cooldown_android,"Invalid PIN. This is your last try.\nYou can retry in %d seconds.\nAfter that your PIN will be blocked.","Ungültige PIN. Sie haben noch 1 Versuch übrig.\nBitte versuchen Sie es in %d Sekunden erneut.\nDanach wird Ihre PIN gesperrt.","PIN non valide. Il vous reste 1 essai.\nVeuillez réessayer dans %d seconds.\nAprès cela, votre code PIN sera bloqué.","PIN non valido. Le rimane 1 tentativo.\nProvare nuovamente in %d secondi.\nDopo di che il suo PIN sarà bloccato.","Érvénytelen PIN-kód. Ez az utolsó próbálkozása.\n%1$d másodperc múlva próbálkozhat újra.\nEzt követően a rendszer blokkolja a PIN-kódját.","无效识别码。您还可以尝试1次\n请在%d秒之后再试\n此后您的识别码将被锁定","رقم سري غير صالح. هذه هي آخر محاولة لك. يمكنك إعادة المحاولة في غضون %d ثوان. بعد ذلك سيتم حظر الرقم السري الخاص بك"
error_registration_with_failure_details,"You are not authorized to register\n%s","Sie sind nicht berechtigt sich zu registrieren.\n%s","Vous n'êtes pas autorisé à vous enregistrer.\n%s","Non ti è permesso registrarti.\n%s","Nem jogosult a regisztrációra\n%1$s","您未被允许注册\n%s","أنت غير مصرح لك بالتسجيل \n%s"
error_authentication_with_failure_details,"We were not able to verify your identity\n%s","Wir konnten Ihre Identität nicht überprüfen.\n%s","Nous n'avons pas été en mesure de vérifier votre identité.\n%s","Non siamo stati in grado di verificare la tua identità.\n%s","Nem tudtuk ellenőrizni a személyazonosságát\n%1$s.","我们无法验证您的身份\n%s","لم نتمكن من التحقق من هويتك \n%s"
error_deregistration_with_failure_details,"We were not able to verify your identity\n%s","Wir konnten Ihre Identität nicht überprüfen.\n%s","Nous n'avons pas été en mesure de vérifier votre identité.\n%s","Non siamo stati in grado di verificare la tua identità.\n%s","Nem tudtuk ellenőrizni személyazonosságát\n%1$s.","我们无法验证您的身份\n%s","لم نتمكن من التحقق من هويتك \n%s"
error_initializing_generic,"Unexpected error initializing application.\n\n%1$s\nError code: %2$s.\nOther details: %3$s","Unerwarteter Fehler bei der Initialisierung.\n\n%1$s\nFehlercode: %2$s.\nWeitere Angabe: %3$s","Erreur inattendue lors de l'initialisation de l'application.\n\n%1$s\nCode d'erreur: %2$s.\nAutres détails: %3$s","Errore inaspettato di inizializzazione dell'applicazione.\n\n%1$s\nCodice di errore: %2$s.\nAltri dettagli: %3$s","Váratlan hiba az alkalmazás inicializálásakor.\n\n%1$s\nHibakód: %2$s.\nTovábbi részletek: %3$s.","应用初始化出现意外错误。\n\n%1$s\n错误代码：%2$s。\n其他详情：%3$s","خطأ غير متوقع أثناء تهيئة التطبيق. \n\n%1$s \nرمز الخطأ: %2$s. \nالتفاصيل الأخرى: %3$s"
device_protection_error,"For security reasons the application requires screen lock to be enabled.\nEnable it in the System Settings.","Aus Sicherheitsgründen muss der Sperrbildschirm aktiviert werden.\nBitte aktivieren Sie ihn in den Systemeinstellungen.","Pour des raisons de sécurité, l'application nécessite l'activation de l'écran de verrouillage. Veuillez l'activer dans les préférences du système.","Per motivi di sicurezza l'applicazione richiede che la schermata di blocco sia abilitata.\nAbilitatela nelle Impostazioni di sistema.","A fiókja biztonsága érdekében engedélyeznie kell a képernyőzárat a készülékén. Engedélyezze a redszerbeállításokban, majd próbálja újra.","出于安全原因，应用需要启用锁屏。\n请在系统设置中启用它。.","لأسباب أمنية، يتطلب التطبيق تمكين قفل الشاشة. \nتفعيله في إعدادات النظام الخاصة بالهاتف"
device_protection_hardware_error,"Your device is not supported by the application. The device does not allow storing data securely.","Dieses Gerät ist nicht unterstützt. Das Gerät erlaubt keine sichere Datenspeicherung.","Ce dispositif n'est pas supporté par l'application. L'appareil ne permet pas de stocker des données en toute sécurité.","Questo dispositivo non è supportato dall'applicazione. Il dispositivo non consente di memorizzare i dati in modo sicuro.","Az alkalmazás nem használható ezen a készüléken, mert az nem teszi lehetővé a biztonságos adattárolást.","本设备不被应用支持。设备不允许安全地存储数据。","جهازك غير مدعوم بواسطة التطبيق. الجهاز لا يسمح بتخزين البيانات بأمان"
rooted_device_error,"Your device is rooted. Rooted devices are not supported by this application for security reasons.","Dieses Gerät is gerootet. Gerootete Geräte werden von dieser Anwendung aus Sicherheitsgründen nicht unterstützt.","Ce dispositif est rooté. Les dispositifs rootés ne sont pas pris supportés par cette application pour des raisons de sécurité.","Questo dispositivo è rootato. I dispositivi rootati non sono supportati da questa applicazione per motivi di sicurezza.","Feltört készüléket használ. Biztonsági okokból az alkalmazás nem használható ezen a készülékeken.","本设备已经被破解。出于安全原因，本应用不支持破解的设备。","جهازك مروت. الأجهزة المروتة غير مدعومة بواسطة هذا التطبيق لأسباب أمنية"
unknown_model,"Unknown Model","Unbekanntes Modell","Modèle Inconnu","Modello Sconosciuto","Ismeretlen model","未知型号","نموذج غير معروف"
success_screen_automatic_redirect_countdown,"Click the button to return. The application will automatically close in %d seconds.","Klicken Sie auf die Schaltfläche zum Zurückkehren. Die Anwendung wird automatisch in %d Sekunden geschlossen.","Cliquez sur le bouton pour revenir. L'application se fermera automatiquement en %d secondes.","Fare clic sul pulsante per tornare indietro. L'applicazione si chiuderà automaticamente in %d secondi.","Nyomja meg a gombot az előző alkalmazáshoz való visszatéréshez. Ez az alkalmazás %1$d másodperc múlva automatikusan bezárul.","点击按钮返回。应用程序将在%d秒后自动关闭。","انقر على الزر للعودة. سيتم إغلاق التطبيق تلقائيًا في غضون %d ثوانٍ."
error_updating_message,"The application update did not complete successfully. Update it manually in your application store.","Das Update der Anwendung wurde nicht erfolgreich abgeschlossen. Um die Anwendung nutzen zu können, müssen Sie auf die neueste Version aktualisieren.","La mise à jour de l'application n'a pas abouti. Pour pouvoir utiliser l'application, vous devez effectuer une mise à jour vers la dernière version.","L'aggiornamento dell'applicazione non è stato completato con successo. Per poter utilizzare l'applicazione, è necessario aggiornare all'ultima versione.","Az alkalmazás frissítése meghiúsult. Frissítse az alkalmazást az App Store-ban.","应用的更新未能成功完成。为了能够使用应用，你必须更新到最新版本。","لم يتم إكمال تحديث التطبيق بنجاح. قم بتحديثه يدويًا في متجر التطبيقات الخاص بك."
error_cannot_decrypt_out_band_payload_without_accounts,"The operation cannot be processed because there are no accounts defined.","Die Operation kann nicht bearbeitet werden, da keine Konten definiert sind.","L'opération ne peut pas être traitée car il n'y a pas de comptes définis.","L'operazione non può essere elaborata perché non ci sono conti definiti.","Az művelet nem végrehajtható, mert nincsenek regisztrált fiókok.","无法处理操作，因为没有定义账户。","لا يمكن معالجة العملية لأنه لا توجد حسابات محددة."
error_out_of_band_authentication_without_accounts,"The authentication cannot be processed because there are no accounts defined.","Die Authentifizierung kann nicht bearbeitet werden, da keine Konten definiert sind.","L'authentification ne peut pas être traitée car il n'y a pas de comptes définis.","L'autenticazione non può essere elaborata perché non ci sono conti definiti.","Az azonosítás nem végrehajtható, mert nincsenek regisztrált fiókok.","无法处理认证，因为没有定义账户。","لا يمكن معالجة المصادقة لأنه لا توجد حسابات محددة."
